study,TP,FP,FN,TN
Steuwe 2020,19,19,0,67
Bollineni 2021,144,69,0,27
Palmisano 2021,95,11,1,36
Shah 2021,146,18,2,2
Deng 2020,423,71,10,83
Song 2020a,108,55,3,45
Caruso 2020,60,42,2,54
Bahrami-Motlagh 2020,86,47,3,27
Wang 2020a,27,33,1,128
Ai 2020a,580,308,21,105
Sverzellati Nicola 2021,181,39,9,19
Xiong 2020,19,8,1,19
Reginelli 2021,309,22,19,28
Schulze-hagen 2020,65,16,4,106
Ravikanth 2021,453,31,28,100
Ferda 2020,30,15,2,263
Fonsi 2020,41,2,3,17
Nivet 2021,225,43,19,226
Barbosa 2020,23,25,2,41
Colombi 2020a,313,49,28,96
Dimeglio 2021,104,30,10,167
Gaia 2020,147,24,15,128
Falaschi 2020,419,66,43,245
Aslan 2020,226,20,24,36
Ducray 2020,259,49,28,358
Hermans 2020,120,22,13,164
Gross 2021,18,7,2,69
Lieveld 2021a,210,65,25,441
Krdzaliz 2020,25,7,3,21
Gietema 2020,74,35,9,75
Herpe 202,1999,525,250,2050
Grando 2020,76,4,10,69
Dofferhoff 2020,136,36,18,122
Boussouar 2020,480,124,65,394
Luo 2020a,26,14,4,29
Schalekamp 2020,460,101,76,433
Brun 2021,148,23,26,110
Borakati 2020,162,55,29,56
Teichgraber 2021,11,8,2,144
Skalidis 2020,55,18,10,27
Ohana 2021,919,148,172,955
Djangang 2020,79,24,15,0
Miranda Magalhaes Santos 2020,30,1,6,38
Cengel 2021,330,90,66,48
Erxleben 2021,28,52,6,183
O'Neill 2020,149,18,33,45
Herigou 2020,13,2,3,29
Narinx 2020,12,10,3,65
Guillo 2020,103,11,26,74
De Smet 2020,279,33,79,468
Patel 2020,125,41,36,115
He 2020,26,2,8,46
Fujioka 2020,57,10,19,68
Debray 2020,119,4,40,78
Besutti 2020,438,16,158,84
Peng 202a,28,13,11,20
Xiaocheng 202,7,13,3,68
Giannitto 2020,14,10,6,38
Kuzan 2020,48,21,21,30
Saeed 2020,44,6,20,14
Mei 2020,274,39,145,447
Salehi-Pourmehr 2020,129,84,72,283
Fink 2021,45,1,27,146
Patrucco 2021,11,4,7,24
Majeed 2020,40,37,29,101
Bellini 2020,80,76,62,354
Rona 2021,23,11,25,48
Hanif 2021,35,3,43,13
Dogan 2020,150,91,286,264
